session,project_code,session_message,session_note,event_date,event_date_(pst),event_site,life_stage,brood_year,migration_year,spawn_year,release_site,rkm_mask,rkm_ext,release_temp,release_date,release_date_(pst),tagger,organization,capture_method,mark_method,mark_temp,hold_temp,file_title,species,hatchery_site,run,stock,rearing_type,raceway/transect,close_date
NA,SA,NA,NA,7/22/2003 7:11,NA,BEARVC,NA,2,4,NA,BEARVC,522.303.319.170,9,NA,7/22/2003 9:40,NA,ACHORD S,NMFS,BSEINE,HAND,15,15,SA03203.BV2,NA,,NA,,NA,,7/22/2003 9:19
NA,AAB,NA,NA,7/21/2004 8:49,NA,BEARVC,NA,3,5,NA,BEARVC,522.303.319.170,9,NA,7/21/2004 11:15,NA,HODGE J,IDFG,SHOCK,HAND,13.5,15,AAB04203.BV1,NA,,NA,,NA,,7/22/2004 5:56
NA,SA,NA,NA,7/21/2004 6:37,NA,BEARVC,NA,3,5,NA,BEARVC,522.303.319.170,9,NA,7/22/2004 6:00,NA,HODGE J,NMFS,BSEINE,HAND,13,13,SA04203.BV1,NA,,NA,,NA,,7/23/2004 5:52
NA,SA,NA,NA,7/21/2004 8:18,NA,BEARVC,NA,3,5,NA,BEARVC,522.303.319.170,9,NA,7/21/2004 10:20,NA,HODGE J,NMFS,BSEINE,HAND,13.5,15,SA04203.BV2,NA,,NA,,NA,,7/22/2004 5:54
NA,AAB,NA,NA,7/26/2005 7:55,NA,BEARVC,NA,4,6,NA,BEARVC,522.303.319.170,9,NA,7/26/2005 10:30,NA,ACHORD S,IDFG,SHOCK,HAND,12,12,AAB05207.BV1,NA,,NA,,NA,,7/26/2005 11:53
NA,SA,NA,NA,7/26/2005 7:31,NA,BEARVC,NA,4,6,NA,BEARVC,522.303.319.170,9,NA,7/27/2005 4:00,NA,ACHORD S,NMFS,SHOCK,HAND,12,13,SA05207.BV1,NA,,NA,,NA,,7/26/2005 11:53
NA,SA,NA,NA,7/26/2006 7:59,NA,BEARVC,NA,5,7,NA,BEARVC,522.303.319.170,9,NA,7/27/2006 4:00,NA,ACHORD S,NMFS,SHOCK,HAND,14,14,SA06207.BV1,NA,,NA,,NA,,7/26/2006 9:00
NA,SA,NA,NA,7/26/2007 6:10,NA,BEARVC,NA,6,8,NA,BEARVC,522.303.319.170,9,NA,7/27/2007 4:30,NA,ACHORD S,NMFS,SHOCK,HAND,15,15,SA07207.BV1,NA,,NA,,NA,,7/26/2007 8:07
NA,SA,NA,NA,7/21/2009 8:03,NA,BEARVC,NA,8,10,NA,BEARVC,522.303.319.170,9,NA,7/22/2009 7:00,NA,ACHORD S,NMFS,SHOCK,HAND,12.7,14,SA09202.BV1,NA,,NA,,NA,,7/21/2009 8:57
NA,SA,NA,NA,7/21/2009 6:58,NA,BEARVC,NA,8,10,NA,BEARVC,522.303.319.170,9,NA,7/21/2009 9:20,NA,ACHORD S,NMFS,SHOCK,HAND,11.5,14,SA09202.BV2,NA,,NA,,NA,,7/21/2009 9:09
NA,SA,NA,NA,7/20/2010 5:05,NA,BEARVC,NA,9,11,NA,BEARVC,522.303.319.170,9,NA,7/21/2010 6:00,NA,ACHORD S,NMFS,SHOCK,HAND,10,10,SA10201.BV1,NA,,NA,,NA,,7/21/2010 9:57
NA,SA,NA,NA,7/19/2011 5:26,NA,BEARVC,NA,10,12,NA,BEARVC,522.303.319.170,9,NA,7/19/2011 9:45,NA,ACHORD S,NMFS,SHOCK,HAND,11,11,SA11200.BV1,NA,,NA,,NA,,7/19/2011 9:22
NA,SA,NA,NA,7/17/2012 5:04,NA,BEARVC,NA,11,13,NA,BEARVC,522.303.319.170,9,NA,7/17/2012 9:30,NA,ACHORD S,NMFS,SHOCK,HAND,11,12,SA12199.BV1,NA,,NA,,NA,,7/17/2012 9:22
NA,GAA,NA,NA,8/10/2013 6:09,NA,BEARVC,NA,12,14,NA,BEARVC,522.303.319.170,9,NA,8/11/2013 5:00,NA,LAMB J,NMFS,SHOCK,HAND,11.7,11.8,GAA13222.BV1,NA,,NA,,NA,,9/4/2013 9:42
NA,GAA,NA,NA,8/10/2013 7:06,NA,BEARVC,NA,12,14,NA,BEARVC,522.303.319.170,9,NA,8/10/2013 10:20,NA,LAMB J,NMFS,SHOCK,HAND,11.7,15,GAA13222.BV2,NA,,NA,,NA,,9/4/2013 9:43
NA,GAA,NA,NA,8/6/2014 5:56,NA,BEARVC,NA,13,15,NA,BEARVC,522.303.319.170,9,NA,8/7/2014 5:10,NA,AXEL G,NMFS,SHOCK,HAND,14,15,GAA14218.BV,NA,,NA,,NA,,9/10/2014 10:37
NA,GAA,NA,NA,8/6/2014 6:51,NA,BEARVC,NA,13,15,NA,BEARVC,522.303.319.170,9,NA,8/6/2014 12:00,NA,AXEL G,NMFS,SHOCK,HAND,14,15,GAA14218.BV2,NA,,NA,,NA,,9/10/2014 10:38
NA,GAA,NA,NA,8/8/2015 7:13,NA,BEARVC,NA,,16,NA,BEARVC,522.303.319.170,9,NA,8/9/2015 5:30,NA,ARIOUS V,NMFS,SHOCK,HAND,11.5,NA,GAA15220.BV1,NA,,NA,,NA,,8/8/2015 9:11
NA,GAA,NA,NA,8/8/2015 7:13,NA,BEARVC,NA,,16,NA,BEARVC,522.303.319.170,9,NA,8/9/2015 5:30,NA,ARIOUS V,NMFS,SHOCK,HAND,11.5,NA,GAA15220.BV2,NA,,NA,,NA,,8/8/2015 12:32
NA,GAA,NA,NA,8/3/2016 8:18,NA,BEARVC,NA,16,17,NA,BEARVC,522.303.319.170,9,NA,8/4/2016 4:50,NA,ARIOUS V,NMFS,SHOCK,HAND,11,NA,GAA16216.BV1,NA,,NA,,NA,,8/31/2016 12:03
NA,GAA,NA,NA,8/3/2016 9:26,NA,BEARVC,NA,16,17,NA,BEARVC,522.303.319.170,9,NA,8/3/2016 12:35,NA,ARIOUS V,NMFS,SHOCK,HAND,11,NA,GAA16216.BV2,NA,,NA,,NA,,8/31/2016 11:59
GAA-2017-209-001,GAA,24HR Hold-ENDED UP 48HR,NA,7/28/2017 5:30,7/28/2017 4:30,BEARVC,Juvenile,NA,2018,NA,BEARVC,522.303.319.170,9,14,7/30/2017 16:15,7/30/2017 15:15,ARIOUS V,NMFS,SHOCK,HAND,11.5,NA,gaa-2017-209-001.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2017-209-002,GAA,Bear Valley Creek day 1,NA,7/28/2017 5:30,7/28/2017 4:30,BEARVC,Juvenile,NA,2018,NA,BEARVC,522.303.319.170,9,13,7/28/2017 11:15,7/28/2017 10:15,ARIOUS V,NMFS,SHOCK,HAND,11.5,NA,gaa-2017-209-002.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2017-210-001,GAA,Bear Valley Creek day 2,NA,7/29/2017 5:30,7/29/2017 4:30,BEARVC,Juvenile,NA,2018,NA,BEARVC,522.303.319.170,9,11.5,7/29/2017 7:30,7/29/2017 6:30,ARIOUS V,NMFS,SHOCK,HAND,11,NA,gaa-2017-210-001.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2018-211-001,GAA,Bear Valley Cr. 24 hr hold,NA,7/30/2018 8:00,7/30/2018 7:00,BEARVC,Juvenile,NA,2018,NA,BEARVC,522.303.319.170,9,10,7/31/2018 7:10,7/31/2018 6:10,ARIOUS V,NMFS,SHOCK,HAND,11,NA,gaa-2018-211-001.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2018-212-001,GAA,Bear Valley Day 2,NA,7/31/2018 8:00,7/31/2018 7:00,BEARVC,Juvenile,NA,2018,NA,BEARVC,522.303.319.170,9,12,7/31/2018 9:30,7/31/2018 8:30,ARIOUS V,NMFS,SHOCK,HAND,11,NA,gaa-2018-212-001.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2019-214-001,GAA,Bear Valley 24 hr hold,NA,8/2/2019 8:00,8/2/2019 7:00,BEARVC,Juvenile,NA,2020,NA,BEARVC,522.303.319.170,9,11.5,8/3/2019 7:05,8/3/2019 6:05,ARIOUS V,NMFS,SHOCK,HAND,12,NA,gaa-2019-214-001.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2019-214-002,GAA,bear valley file 2,NA,8/2/2019 8:00,8/2/2019 7:00,BEARVC,Juvenile,NA,2020,NA,BEARVC,522.303.319.170,9,16,8/2/2019 12:15,8/2/2019 11:15,ARIOUS V,NMFS,SHOCK,HAND,12,NA,gaa-2019-214-002.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2021-215-001,GAA,24Hr Hold,NA,8/3/2021 8:22,8/3/2021 7:22,BEARVC,Juvenile,NA,2022,NA,BEARVC,522.303.319.170,9,14,8/4/2021 5:00,8/4/2021 4:00,ARIOUS V,NMFS,SHOCK,HAND,12.5,NA,gaa-2021-215-001.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2021-215-002,GAA,Shocking Day1,NA,8/3/2021 6:00,8/3/2021 5:00,BEARVC,Juvenile,NA,2022,NA,BEARVC,522.303.319.170,9,16,8/3/2021 11:00,8/3/2021 10:00,ARIOUS V,NMFS,SHOCK,HAND,14,NA,gaa-2021-215-002.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2022-203-003,GAA,Seine,NA,7/22/2022 12:15,7/22/2022 11:15,BEARVC,Juvenile,NA,2023,NA,BEARVC,522.303.319.170,9,14,7/22/2022 13:00,7/22/2022 12:00,ARIOUS V,NMFS,PSEINE,HAND,13,NA,gaa-2022-203-003.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2023-201-001,GAA,24 hr hold,NA,7/20/2023 8:55,7/20/2023 7:55,BEARVC,Juvenile,NA,2024,NA,BEARVC,522.303.319.170,9,11.5,7/21/2023 10:00,7/21/2023 9:00,ARIOUS V,NMFS,SHOCK,HAND,12,NA,gaa-2023-201-001.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2023-201-002,GAA,Day 1,NA,7/20/2023 10:29,7/20/2023 9:29,BEARVC,Juvenile,NA,2024,NA,BEARVC,522.303.319.170,9,11.5,7/21/2023 10:00,7/21/2023 9:00,ARIOUS V,NMFS,SHOCK,HAND,12,NA,gaa-2023-201-002.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2023-201-003,GAA,Day 1 seine collection,NA,7/20/2023 11:57,7/20/2023 10:57,BEARVC,Juvenile,NA,2024,NA,BEARVC,522.303.319.170,9,11.5,7/21/2023 10:00,7/21/2023 9:00,ARIOUS V,NMFS,BSEINE,HAND,12,NA,gaa-2023-201-003.csv,NA,NA,NA,NA,NA,NA,NA
GAA-2023-202-001,GAA,Day 2 Seine,NA,7/21/2023 6:27,7/21/2023 5:27,BEARVC,Juvenile,NA,2024,NA,BEARVC,522.303.319.170,9,11.5,7/21/2023 10:00,7/21/2023 9:00,ARIOUS V,NMFS,BSEINE,HAND,12,NA,gaa-2023-202-001.csv,NA,NA,NA,NA,NA,NA,NA
NA,SA,NA,BEAVER POND,8/16/1989 8:05,NA,BEARVC,NA,88,90,NA,BEARVC,522.303.319.170,10,12,8/16/1989 10:30,NA,STEVE ACHORD,NMFS,BSEINE,AUTO,10,NA,SA89228.BV2,1,NA,1,NA,W,NA,8/16/1989 9:56
NA,SA,NA,BEAVER POND,8/16/1989 9:56,NA,BEARVC,NA,88,90,NA,BEARVC,522.303.319.170,10,13.5,8/16/1989 12:00,NA,STEVE ACHORD,NMFS,BSEINE,AUTO,11.5,NA,SA89228.BV3,1,NA,1,NA,W,NA,8/16/1989 11:25
NA,SA,NA,,8/3/1990 9:32,NA,BEARVC,NA,89,91,NA,BEARVC,522.303.319.170,10,16,8/3/1990 12:30,NA,STEVE ACHORD,NMFS,SHOCK,AUTO,14,NA,SA90215.BV2,1,NA,1,NA,W,,8/3/1990 10:04
NA,SA,NA,NA,7/30/1992 4:57,NA,BEARVC,NA,91,93,NA,BEARVC,522.303.319.170,10,NA,7/30/1992 9:20,NA,ACHORD S,NMFS,SHOCK,HAND,14,14,SA92212.BV3,1,,1,,W,,7/30/1992 6:17
NA,SA,NA,NA,7/27/1994 8:36,NA,BEARVC,NA,93,95,NA,BEARVC,522.303.319.170,10,NA,7/27/1994 10:00,NA,ACHORD S,NMFS,SHOCK,HAND,15.5,NA,SA94208.BV2,1,,1,,W,,7/27/1994 9:17
NA,SA,NA,NA,7/23/2002 9:18,NA,BEARVC,NA,1,3,NA,BEARVC,522.303.319.170,10,NA,7/24/2002 6:00,NA,ACHORD S,NMFS,BSEINE,HAND,14.5,14.5,SA02204.BV2,NA,,NA,,NA,,7/23/2002 10:11
NA,SA,NA,NA,7/24/2002 5:00,NA,BEARVC,NA,1,3,NA,BEARVC,522.303.319.170,10,NA,7/24/2002 7:10,NA,ACHORD S,NMFS,BSEINE,HAND,14,14,SA02205.BV1,NA,,NA,,NA,,7/24/2002 6:39
NA,SA,NA,NA,7/24/2002 6:39,NA,BEARVC,NA,1,3,NA,BEARVC,522.303.319.170,10,NA,7/24/2002 9:40,NA,ACHORD S,NMFS,SHOCK,HAND,14,14,SA02205.BV2,NA,,NA,,NA,,7/24/2002 9:24
NA,SA,NA,NA,7/21/2004 10:19,NA,BEARVC,NA,3,5,NA,BEARVC,522.303.319.170,10,NA,7/21/2004 11:15,NA,HODGE J,NMFS,SHOCK,HAND,14.5,14.5,SA04203.BV3,NA,,NA,,NA,,7/22/2004 5:57
NA,SA,NA,NA,7/26/2005 9:15,NA,BEARVC,NA,4,6,NA,BEARVC,522.303.319.170,10,NA,7/26/2005 11:30,NA,ACHORD S,NMFS,SHOCK,HAND,12,12,SA05207.BV2,NA,,NA,,NA,,7/26/2005 11:51
NA,SA,NA,NA,7/26/2006 9:02,NA,BEARVC,NA,5,7,NA,BEARVC,522.303.319.170,10,NA,7/26/2006 10:00,NA,ACHORD S,NMFS,SHOCK,HAND,14.5,14.5,SA06207.BV2,NA,,NA,,NA,,7/26/2006 11:00
NA,SA,NA,NA,7/26/2007 8:10,NA,BEARVC,NA,6,8,NA,BEARVC,522.303.319.170,10,NA,7/26/2007 10:15,NA,ACHORD S,NMFS,SHOCK,HAND,14.5,14.5,SA07207.BV2,NA,,NA,,NA,,7/26/2007 10:58
NA,SA,NA,NA,7/29/2008 7:06,NA,BEARVC,NA,7,9,NA,BEARVC,522.303.319.170,10,NA,7/30/2008 4:15,NA,ACHORD S,NMFS,SHOCK,HAND,11.5,11.5,SA08211.BV1,NA,,NA,,NA,,7/29/2008 8:41
NA,SA,NA,NA,7/29/2008 8:42,NA,BEARVC,NA,7,9,NA,BEARVC,522.303.319.170,10,NA,7/29/2008 9:15,NA,ACHORD S,NMFS,SHOCK,HAND,12,13,SA08211.BV2,NA,,NA,,NA,,7/30/2008 7:08
NA,SA,NA,NA,7/20/2010 6:50,NA,BEARVC,NA,9,11,NA,BEARVC,522.303.319.170,10,NA,7/20/2010 11:00,NA,ACHORD S,NMFS,SHOCK,HAND,10,11,SA10201.BV2,NA,,NA,,NA,,7/20/2010 10:37
NA,SA,NA,NA,7/28/1993 12:05,NA,BEARVC,NA,92,94,NA,BEARVC,522.303.319.170,11,NA,7/29/1993 7:00,NA,ACHORD S,NMFS,SHOCK,HAND,12.5,15.5,SA93209.BV2,1,,1,,W,,7/28/1993 14:56
NA,SA,NA,NA,7/27/1994 9:57,NA,BEARVC,NA,93,95,NA,BEARVC,522.303.319.170,11,NA,7/28/1994 6:00,NA,ACHORD S,NMFS,SHOCK,HAND,16,NA,SA94208.BV3,1,NA,1,NA,W,NA,7/27/1994 10:20
NA,SA,NA,NA,7/28/1994 6:31,NA,BEARVC,NA,93,95,NA,BEARVC,522.303.319.170,11,NA,7/28/1994 8:30,NA,ACHORD S,NMFS,SHOCK,HAND,16,NA,SA94209.BV1,1,,1,,W,,7/28/1994 6:59
NA,SA,NA,NA,7/27/1999 5:48,NA,BEARVC,NA,98,0,NA,BEARVC,522.303.319.170,11,NA,7/28/1999 7:30,NA,ACHORD S,NMFS,SHOCK,HAND,11.5,NA,SA99208.BV1,NA,,NA,,NA,,9/3/1999 7:27
NA,SA,NA,,8/1/1991 5:50,NA,BEARVC,NA,90,92,NA,BEARVC,522.303.319.170,12,18,8/1/1991 13:30,NA,ACHORD S,NMFS,SHOCK,AUTO,14,NA,SA91213.BV1,1,NA,1,NA,W,,8/1/1991 6:29
NA,SA,NA,NA,7/30/1992 8:29,NA,BEARVC,NA,91,93,NA,BEARVC,522.303.319.170,12,NA,7/31/1992 6:30,NA,achord s,NMFS,SHOCK,HAND,15.5,16,SA92212.BV4,1,,1,,W,,7/30/1992 9:35
NA,SA,NA,NA,7/28/1994 7:27,NA,BEARVC,NA,93,95,NA,BEARVC,522.303.319.170,12,NA,7/28/1994 10:00,NA,ACHORD S,NMFS,SHOCK,HAND,15.5,NA,SA94209.BV2,1,,1,,W,,7/28/1994 8:25
NA,SA,NA,NA,7/28/1994 8:25,NA,BEARVC,NA,93,95,NA,BEARVC,522.303.319.170,12,NA,7/29/1994 6:30,NA,ACHORD S,NMFS,SHOCK,HAND,16,16,SA94209.BV3,1,,1,,W,,7/28/1994 9:01
NA,SA,NA,NA,8/19/1997 10:50,NA,BEARVC,NA,96,98,NA,BEARVC,522.303.319.170,12,NA,8/19/1997 14:35,NA,MCINTYRE K,NMFS,SHOCK,HAND,13.5,14.5,SA97231.BV1,NA,NA,NA,NA,NA,NA,8/19/1997 12:39
NA,SA,NA,NA,7/29/1998 8:00,NA,BEARVC,NA,97,99,NA,BEARVC,522.303.319.170,12,NA,7/30/1998 6:40,NA,ACHORD S,NMFS,SHOCK,HAND,11,13.5,SA98210.BV1,NA,NA,NA,NA,NA,NA,7/29/1998 10:30
NA,SA,NA,NA,7/27/1999 7:06,NA,BEARVC,NA,98,0,NA,BEARVC,522.303.319.170,12,NA,7/27/1999 13:30,NA,ACHORD S,NMFS,SHOCK,HAND,11.5,NA,SA99208.BV2,NA,,NA,,NA,,9/3/1999 7:31
NA,SA,NA,NA,8/8/2000 6:59,NA,BEARVC,NA,99,1,NA,BEARVC,522.303.319.170,12,NA,8/9/2000 7:00,NA,ACHORD S,NMFS,SHOCK,HAND,11,NA,SA00221.BV1,NA,,NA,,NA,,8/30/2000 11:04
NA,SA,NA,NA,8/8/2000 10:31,NA,BEARVC,NA,99,1,NA,BEARVC,522.303.319.170,12,NA,8/9/2000 7:00,NA,ACHORD S,NMFS,SHOCK,HAND,13,NA,SA00221.BV2,NA,,NA,,NA,,8/30/2000 11:09
NA,AAB,NA,NA,7/26/2001 8:36,NA,BEARVC,NA,0,2,NA,BEARVC,522.303.319.170,12,NA,7/26/2001 12:00,NA,HODGE J,IDFG,SHOCK,HAND,13,13,AAB01207.BV1,NA,,NA,,NA,,7/26/2001 10:43
NA,SA,NA,NA,7/26/2001 6:52,NA,BEARVC,NA,0,2,NA,BEARVC,522.303.319.170,12,NA,7/26/2001 12:00,NA,Hodge J,NMFS,SHOCK,HAND,12,12,SA01207.BV1,NA,,NA,,NA,,7/26/2001 10:56
NA,GAA,NA,NA,8/4/2016 6:56,NA,BEARVC,NA,16,17,NA,BEARVC,522.303.319.170,12,NA,8/4/2016 8:30,NA,ARIOUS V,NMFS,SHOCK,HAND,11,NA,GAA16217.BV3,NA,,NA,,NA,,8/31/2016 11:59
NA,SA,NA,24 HOUR HOLD,8/4/1990 9:13,NA,BEARVC,NA,89,91,NA,BEARVC,522.303.319.170,13,14,8/5/1990 10:20,NA,STEVE ACHORD,NMFS,SHOCK,AUTO,14,NA,SA90216.BV2,1,NA,1,NA,W,,8/4/1990 9:58
NA,SA,NA,,8/5/1990 7:44,NA,BEARVC,NA,89,91,NA,BEARVC,522.303.319.170,13,15.5,8/5/1990 11:15,NA,STEVE ACHORD,NMFS,SHOCK,AUTO,13,NA,SA90217.BV1,1,NA,1,NA,W,,8/5/1990 8:24
NA,SA,NA,,8/1/1991 6:29,NA,BEARVC,NA,90,92,NA,BEARVC,522.303.319.170,13,18,8/1/1991 13:30,NA,ACHORD S,NMFS,SHOCK,AUTO,14.5,NA,SA91213.BV2,1,NA,1,NA,W,,8/1/1991 9:25
NA,SA,NA,NA,7/31/1992 4:45,NA,BEARVC,NA,91,93,NA,BEARVC,522.303.319.170,13,NA,NA,NA,WALTERS T,NMFS,SHOCK,HAND,14,14,SA92213.BV1,1,,1,,W,,7/31/1992 6:38
NA,SA,NA,NA,7/29/1993 9:30,NA,BEARVC,NA,92,94,NA,BEARVC,522.303.319.170,13,NA,7/29/1993 10:45,NA,ACHORD S,NMFS,SHOCK,HAND,13,13.5,SA93210.BV2,1,,1,,W,,7/29/1993 10:50
NA,SA,NA,NA,7/28/1994 9:44,NA,BEARVC,NA,93,95,NA,BEARVC,522.303.319.170,13,NA,7/29/1994 7:30,NA,ACHORD S,NMFS,SHOCK,HAND,16,16,SA94209.BV4,1,,1,,W,,7/28/1994 10:39
NA,SA,NA,NA,7/29/1994 6:57,NA,BEARVC,NA,93,95,NA,BEARVC,522.303.319.170,13,NA,7/29/1994 8:00,NA,ACHORD S,NMFS,SHOCK,HAND,15.5,NA,SA94210.BV1,1,,1,,W,,7/29/1994 7:38
NA,SA,NA,NA,7/29/1998 10:38,NA,BEARVC,NA,97,99,NA,BEARVC,522.303.319.170,13,NA,7/29/1998 13:30,NA,ACHORD S,NMFS,SHOCK,HAND,12,14,SA98210.BV2,NA,NA,NA,NA,NA,NA,7/29/1998 13:00
NA,SA,NA,NA,7/28/1999 6:14,NA,BEARVC,NA,98,0,NA,BEARVC,522.303.319.170,13,NA,7/28/1999 10:30,NA,ACHORD S,NMFS,SHOCK,HAND,11.5,NA,SA99209.BV1,NA,,NA,,NA,,9/3/1999 7:44
NA,SA,NA,NA,8/8/2000 11:53,NA,BEARVC,NA,99,1,NA,BEARVC,522.303.319.170,13,NA,8/9/2000 11:30,NA,ACHORD S,NMFS,SHOCK,HAND,15,NA,SA00221.BV3,NA,,NA,,NA,,8/30/2000 11:12
NA,SA,NA,NA,7/23/2003 7:04,NA,BEARVC,NA,2,4,NA,BEARVC,522.303.319.170,13,NA,7/23/2003 9:45,NA,ACHORD S,NMFS,BSEINE,HAND,15,15,SA03204.BV1,NA,,NA,,NA,,7/23/2003 9:15
NA,AAB,NA,NA,7/22/2004 8:03,NA,BEARVC,NA,3,5,NA,BEARVC,522.303.319.170,13,NA,7/22/2004 11:00,NA,HODGE J,IDFG,BSEINE,HAND,13,13,AAB04204.BV1,NA,,NA,,NA,,7/22/2004 12:20
NA,SA,NA,NA,7/22/2004 6:31,NA,BEARVC,NA,3,5,NA,BEARVC,522.303.319.170,13,NA,7/22/2004 11:00,NA,HODGE J,NMFS,BSEINE,HAND,12.5,14,SA04204.BV1,NA,,NA,,NA,,7/22/2004 12:20
NA,AAB,NA,NA,7/27/2005 7:07,NA,BEARVC,NA,4,6,NA,BEARVC,522.303.319.170,13,NA,7/27/2005 11:00,NA,ACHORD S,IDFG,SHOCK,HAND,11,13,AAB05208.BV1,NA,,NA,,NA,,7/27/2005 11:50
NA,SA,NA,NA,7/27/2005 6:43,NA,BEARVC,NA,4,6,NA,BEARVC,522.303.319.170,13,NA,7/27/2005 11:00,NA,ACHORD S,NMFS,SHOCK,HAND,11,11,SA05208.BV1,NA,,NA,,NA,,7/27/2005 11:48
NA,SA,NA,NA,7/27/2006 7:01,NA,BEARVC,NA,5,7,NA,BEARVC,522.303.319.170,13,NA,7/27/2006 8:00,NA,ACHORD S,NMFS,SHOCK,HAND,13.5,14,SA06208.BV1,NA,,NA,,NA,,7/27/2006 8:25
NA,SA,NA,NA,7/27/2007 7:03,NA,BEARVC,NA,6,8,NA,BEARVC,522.303.319.170,13,NA,7/27/2007 8:45,NA,ACHORD S,NMFS,SHOCK,HAND,13,13,SA07208.BV1,NA,,NA,,NA,,7/27/2007 8:20
NA,SA,NA,NA,7/30/2008 7:09,NA,BEARVC,NA,7,9,NA,BEARVC,522.303.319.170,13,NA,7/31/2008 4:30,NA,ACHORD S,NMFS,SHOCK,HAND,11,11.5,SA08212.BV1,NA,,NA,,NA,,7/30/2008 8:50
NA,SA,NA,NA,7/22/2009 6:34,NA,BEARVC,NA,8,10,NA,BEARVC,522.303.319.170,13,NA,7/22/2009 9:35,NA,ACHORD S,NMFS,SHOCK,HAND,12,14,SA09203.BV1,NA,,NA,,NA,,7/22/2009 9:20
NA,SA,NA,NA,7/21/2010 6:03,NA,BEARVC,NA,9,11,NA,BEARVC,522.303.319.170,13,NA,7/21/2010 8:00,NA,ACHORD S,NMFS,SHOCK,HAND,9,10,SA10202.BV1,NA,,NA,,NA,,7/21/2010 9:55
